"CHSI_State_Name","CHSI_State_Abbr","CHSI_County_Name","Injury","Cancer","Population","Homicide","Suicide","HIV","Heart Disease","Max_Type","Max_Value","id"
"Alabama","AL","Autauga",0.335603140302048,2.03622295138409,48612,0,1.54567503519981,0,2.32393307268332,"Heart Disease",2.32393307268332,"1001"
"Alabama","AL","Baldwin",0,0,162586,0.624110356522703,0,0,0,"Homicide",0.624110356522703,"1003"
"Alabama","AL","Barbour",1.07760381961237,2.74293545096199,28414,0,2.28118339953453,0,2.87793629574372,"Heart Disease",2.87793629574372,"1005"
"Alabama","AL","Bibb",3.16446899618772,3.09303595824855,21516,0,1.99254493093243,0,2.90944315210575,"Cancer",3.09303595824855,"1007"
"Alabama","AL","Blount",1.81124771478306,1.45216998080399,55725,0,1.2940227194121,0,1.53122159999902,"Heart Disease",1.53122159999902,"1009"
"Alabama","AL","Bullock",2.877760148258,3.14179395646409,11055,0,0,0,3.60486075519117,"Heart Disease",3.60486075519117,"1011"
"Alabama","AL","Butler",3.42102535265805,2.85543681706903,20766,3.01258981839792,0,0,3.32838368826728,"Heart Disease",3.32838368826728,"1013"
"Alabama","AL","Calhoun",0.271418699166689,0,112141,1.52846722138995,0,0,0.15426726968953,"Homicide",1.52846722138995,"1015"
"Alabama","AL","Chambers",1.23429405149083,2.54687793413889,35460,1.632410856317,1.90420435930421,0,2.71052712854276,"Heart Disease",2.71052712854276,"1017"
"Alabama","AL","Cherokee",2.87973055718145,2.78993554201904,24522,0,1.79336673471012,0,3.03162060231714,"Heart Disease",3.03162060231714,"1019"
"Alabama","AL","Chilton",2.83987271916832,2.37079934935731,41744,1.36165110835211,1.46687022647414,0,2.49385094871175,"Heart Disease",2.49385094871175,"1021"
"Alabama","AL","Choctaw",3.40477150245358,3.42169338139765,14807,0,0,0,3.45153822306118,"Heart Disease",3.45153822306118,"1023"
"Alabama","AL","Clarke",3.04959498363574,2.71071619625893,27269,2.99540460398892,0,0,2.93101011266845,"Homicide",2.99540460398892,"1025"
"Alabama","AL","Clay",1.4789720767482,2.93184787671581,13964,0,0,0,3.52727491719788,"Heart Disease",3.52727491719788,"1027"
