time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-28T11:19:52.230Z,-2.1511,-79.672,99.97,5.3,mb,,52,2.668,1.15,us,us200029t7,2015-04-29T15:32:17.157Z,"4km SSE of Yaguachi, Ecuador",earthquake
2015-04-28T07:33:23.380Z,10.2664,-84.6467,74.27,4.6,mb,,56,0.302,1.27,us,us200029st,2015-04-28T13:48:25.194Z,"11km SSW of Pocosol, Costa Rica",earthquake
2015-04-28T05:11:01.760Z,-4.8747,133.9207,16.76,4.7,mb,,111,2.56,0.39,us,us200029sh,2015-04-28T13:13:28.815Z,"103km NNW of Dobo, Indonesia",earthquake
2015-04-28T05:03:25.210Z,37.2968,71.9401,166.21,4.6,mb,,43,1.102,0.78,us,us200029sf,2015-04-28T13:05:53.739Z,"10km ENE of Roshtqal'a, Tajikistan",earthquake
2015-04-27T22:11:13.880Z,-56.25,-27.0714,107.52,4.6,mb,,102,5.733,0.72,us,us200029pl,2015-04-28T06:13:50.992Z,"50km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-04-27T18:59:56.750Z,28.0036,84.7534,20.01,4.8,mb,,60,5.84,0.69,us,us200029ma,2015-04-28T12:35:39.663Z,"44km ESE of Lamjung, Nepal",earthquake
2015-04-27T17:34:49.740Z,2.033,124.7774,251.6,4.5,mb,,85,2.875,0.73,us,us200029ls,2015-04-28T01:37:19.004Z,"60km N of Manado, Indonesia",earthquake
2015-04-27T15:51:46.230Z,27.6385,85.0551,10,4.5,mb,,140,5.717,0.81,us,us200029lc,2015-04-28T04:48:22.758Z,"22km WSW of Kirtipur, Nepal",earthquake
2015-04-27T15:48:28.360Z,3.6303,123.0911,524.16,4.5,mb,,100,3.403,0.64,us,us200029l6,2015-04-27T23:51:11.603Z,"296km SSE of Tabiauan, Philippines",earthquake
2015-04-27T14:16:29.760Z,34.9848,26.8342,10,4.5,mb,,144,0.621,0.95,us,us200029kh,2015-04-27T22:19:04.441Z,"58km ESE of Palaikastron, Greece",earthquake
2015-04-27T12:35:52.990Z,26.827,88.1055,29.42,5.1,mb,,34,3.595,0.67,us,us200029k7,2015-05-01T16:15:00.377Z,"10km SW of Mirik, India",earthquake
2015-04-27T12:04:59.150Z,6.0508,126.0935,149.83,4.6,mb,,121,5.395,0.5,us,us200029k3,2015-04-27T20:07:35.143Z,"35km SSW of Pondaguitan, Philippines",earthquake
2015-04-27T05:34:33.190Z,26.4512,53.4892,34.74,4.7,mb,,57,2.872,0.71,us,us200029j2,2015-04-27T07:15:40.196Z,"54km WSW of Kish, Iran",earthquake
2015-04-26T23:35:28.900Z,-8.3056,-79.8288,14.67,5.4,mb,,41,4.693,0.88,us,us200029gw,2015-04-29T23:20:53.000Z,"75km WSW of Santiago de Cao, Peru",earthquake
2015-04-26T22:32:34.010Z,27.4597,85.6194,10,4.6,mb,,150,5.896,1.19,us,us200029gc,2015-04-27T18:25:19.300Z,"17km SE of Panaoti, Nepal",earthquake
2015-04-26T21:10:31.270Z,-14.3573,-73.6412,70.3,4.6,mb,,129,3.907,1.16,us,us200029ff,2015-04-27T05:13:13.109Z,"57km NNE of Tambo, Peru",earthquake
2015-04-26T16:26:05.310Z,27.7612,85.7704,10,5.3,mwb,,32,5.086,0.65,us,us200029ea,2015-05-01T21:55:18.040Z,"25km ENE of Nagarkot, Nepal",earthquake
2015-04-26T15:34:47.200Z,-25.009,-68.8555,93.44,4.5,mb,,88,0.683,0.83,us,us200029e2,2015-04-26T23:37:46.126Z,"169km ENE of Taltal, Chile",earthquake
2015-04-26T14:44:49.360Z,27.532,85.7493,10,4.6,mb,,150,5.198,0.46,us,us200029dv,2015-04-26T18:15:19.177Z,"24km ESE of Panaoti, Nepal",earthquake
2015-04-26T14:05:31.080Z,-19.0869,-176.3029,298.57,4.6,mb,,139,5.522,0.59,us,us200029dk,2015-04-26T22:09:46.074Z,"219km WNW of Pangai, Tonga",earthquake
2015-04-26T13:11:15.030Z,27.7571,85.3745,10,4.5,mb,,79,5.41,0.62,us,us200029dc,2015-04-26T17:04:46.116Z,"8km NE of Kathmandu, Nepal",earthquake
2015-04-26T12:55:00.150Z,-1.9398,100.1963,57.36,4.8,mb,,137,2.403,0.39,us,us200029d7,2015-04-26T20:57:33.684Z,"77km SSW of Painan, Indonesia",earthquake
2015-04-26T12:12:07.280Z,-31.6623,-177.5448,40.93,4.7,mb,,142,2.432,0.44,us,us200029cy,2015-04-26T20:15:03.979Z,"131km ESE of L'Esperance Rock, New Zealand",earthquake
2015-04-26T10:38:04.440Z,-11.0272,120.671,35,4.8,mb,,112,2.833,0.36,us,us200029ci,2015-04-26T18:43:12.295Z,"89km S of Mbulung, Indonesia",earthquake
2015-04-26T10:36:06.560Z,-10.6354,120.3024,35,4.7,mb,,80,2.754,0.46,us,us200029cj,2015-04-26T18:38:49.247Z,"49km S of Nggongi, Indonesia",earthquake
2015-04-26T10:31:25.960Z,-10.5993,120.4003,35,4.5,mb,,79,2.662,1.17,us,us200029cg,2015-04-26T18:34:06.510Z,"44km SSW of Mbulung, Indonesia",earthquake
2015-04-26T09:00:27.960Z,-18.0027,168.1902,42.57,4.8,mb,,71,4.368,0.45,us,us200029c7,2015-04-27T02:02:10.133Z,"32km SSW of Port-Vila, Vanuatu",earthquake
2015-04-26T08:46:16.890Z,27.8449,85.6858,10,4.5,mb,,166,5.966,0.74,us,us200029c5,2015-04-26T17:07:07.594Z,"21km NE of Nagarkot, Nepal",earthquake
2015-04-26T08:40:55.220Z,27.591,85.6782,10,4.6,mb,,99,5.887,0.57,us,us200029c4,2015-04-26T15:33:43.900Z,"16km E of Panaoti, Nepal",earthquake
2015-04-26T07:36:26.360Z,27.7189,85.929,10,4.7,mb,,166,5.72,0.75,us,us200029by,2015-04-26T16:48:40.225Z,"25km S of Kodari, Nepal",earthquake
2015-04-26T07:26:04.420Z,27.707,85.8284,10,5,mb,,85,5.799,0.49,us,us200029bx,2015-04-26T19:51:55.510Z,"29km SSW of Kodari, Nepal",earthquake
2015-04-26T07:09:10.010Z,27.782,85.9971,17.26,6.7,mww,,19,4.894,0.99,us,us200029bt,2015-05-01T18:55:09.250Z,"19km SSE of Kodari, Nepal",earthquake
2015-04-26T02:48:39.050Z,28.156,84.6095,10,4.6,mb,,125,5.916,0.86,us,us200029b1,2015-04-26T05:22:46.152Z,"24km ESE of Lamjung, Nepal",earthquake
2015-04-26T02:18:00.750Z,-21.2529,-179.214,603.2,4.6,mb,,50,4.338,1.5,us,us200029ap,2015-04-26T10:21:00.068Z,"85km SW of Ndoi Island, Fiji",earthquake
